species,events_lost,provinces,first_year,last_year,in_birdwatch_modelled,in_rescue_modelled,modelling_status
Phoenicopterus roseus,12,Anhui;Beijing;Liaoning;Inner Mongolia;Ningxia;Qinghai;Shandong;Shaanxi;Shanghai;Sichuan;Tianjin;Yunnan,2010,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris minuta,8,Hainan;Hubei;Jilin;Liaoning;Shaanxi;Sichuan;Tianjin;Yunnan,2007,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Plegadis falcinellus,8,Hainan;Henan;Hubei;Jiangsu;Jiangxi;Tianjin;Tibet;Yunnan,2013,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Clangula hyemalis,7,Gansu;Hubei;Jiangsu;Jiangxi;Ningxia;Shandong;Yunnan,2008,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Rissa tridactyla,6,Gansu;Guizhou;Hunan;Jilin;Qinghai;Yunnan,2008,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Limnodromus scolopaceus,6,Guangxi;Heilongjiang;Hubei;Liaoning;Shaanxi;Sichuan,2014,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Otocichla mupinensis,6,Anhui;Guangxi;Jiangsu;Jiangxi;Liaoning;Shanghai,2006,2022,FALSE,FALSE,not_modelled_at_all
Pelecanus onocrotalus,6,Anhui;Jiangsu;Liaoning;Shandong;Sichuan,2004,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris melanotos,5,Hainan;Liaoning;Tianjin;Yunnan;Zhejiang,2007,2022,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Calidris pugnax,5,Guizhou;Henan;Liaoning;Shaanxi;Tianjin,2007,2021,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phalaropus lobatus,5,Guizhou;Henan;Jiangxi;Shaanxi;Sichuan,2009,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Phylloscopus collybita,5,Anhui;Henan;Hubei;Jiangsu;Inner Mongolia,2007,2024,TRUE,FALSE,modelled_in_birdwatch_but_dropped_by_threshold
Oroanassa magnifica,5,Guizhou;Hunan;Shaanxi;Sichuan;Yunnan,2006,2022,FALSE,FALSE,not_modelled_at_all
Branta canadensis,4,Heilongjiang;Liaoning;Tianjin;Zhejiang,2017,2024,FALSE,TRUE,modelled_in_rescue_but_not_in_sdm_province
