scale,model,AIC,BIC,logLik,df,nobs,dAIC,weight
prefecture,M0,4706.93959888306,4732.60649017394,-2350.46979944153,3,38393,10.6142212166915,0.00451621473935942
prefecture,M1,4704.4840527085,4738.70657442967,-2348.24202635425,4,38393,8.15867504213202,0.0154166374973511
prefecture,M2,4704.55555978821,4738.77808150937,-2348.2777798941,4,38393,8.23018212183615,0.0148751754061575
prefecture,M3,4701.97803248156,4744.75618463302,-2345.98901624078,5,38393,5.65265481519236,0.0539715683944481
prefecture,M4,4696.32537766637,4747.65916024812,-2342.16268883318,6,38393,0,0.911220403962684
county,M0,5186.87259888401,5215.2717666602,-2590.43629944201,3,95453,6.05113967549369,0.0270521041583176
county,M1,5184.30489283484,5222.17044986976,-2588.15244641742,4,95453,3.48343362632477,0.0976722820989496
county,M2,5184.92857384879,5222.7941308837,-2588.46428692439,4,95453,4.10711464026645,0.0715057100692035
county,M3,5182.45469341359,5229.78663970723,-2586.22734670679,5,95453,1.6332342050664,0.246341189752565
county,M4,5180.82145920852,5237.61979476089,-2584.41072960426,6,95453,0,0.557428713920964
