run,spec_id,spec_label,model,AIC,BIC,logLik,df,nobs,dAIC,akaike_weight
v2,spec_A,Record-based (legacy),M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,16.3758257761629,0.000277749959598743
v2,spec_A,Record-based (legacy),M1,4222.74061301208,4252.57347525011,-2107.37030650604,4,12813,16.8670057615482,0.000217267929561657
v2,spec_A,Record-based (legacy),M2,4223.10753187217,4252.94039411021,-2107.55376593609,4,12813,17.2339246216461,0.000180850705663776
v2,spec_A,Record-based (legacy),M3,4222.90489818456,4260.1959759821,-2106.45244909228,5,12813,17.03129093403,0.000200134312595307
v2,spec_A,Record-based (legacy),M4,4205.87360725053,4250.62290060758,-2096.93680362526,6,12813,0,0.999123997092581
v2,spec_A,Record-based (legacy),M5,5714.92601480808,5744.75887704612,-2853.46300740404,4,12813,1509.05240755756,0
v2,spec_B,Observer visits,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,26.1049951538771,2.14471807371772e-06
v2,spec_B,Observer visits,M1,4224.18280038884,4254.01566262688,-2108.09140019442,4,12813,28.0383625160293,8.15726973342246e-07
v2,spec_B,Observer visits,M2,4223.10753187217,4252.94039411021,-2107.55376593609,4,12813,26.9630939993604,1.39648544915021e-06
v2,spec_B,Observer visits,M3,4225.10454598525,4262.3956237828,-2107.55227299262,5,12813,28.9601081124365,5.14505841669175e-07
v2,spec_B,Observer visits,M4,4196.14443787281,4240.89373122987,-2092.07221893641,6,12813,0,0.999995128563662
v2,spec_B,Observer visits,M5,5529.54713116937,5559.37999340741,-2760.77356558468,4,12813,1333.40269329655,2.85286983860018e-290
v2,spec_C,PCA composite,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,13.0925880591458,0.00143048815284747
v2,spec_C,PCA composite,M1,4223.73705877359,4253.56992101163,-2107.86852938679,4,12813,14.5802138060426,0.000679908450290797
v2,spec_C,PCA composite,M2,4223.10753187217,4252.94039411021,-2107.55376593609,4,12813,13.950686904629,0.000931430529314494
v2,spec_C,PCA composite,M3,4224.80936942203,4262.10044721958,-2107.40468471102,5,12813,15.6525244544873,0.000397741713259768
v2,spec_C,PCA composite,M4,4209.15684496754,4253.9061383246,-2098.57842248377,6,12813,0,0.996560431154288
v2,spec_C,PCA composite,M5,4441.8096601589,4471.64252239693,-2216.90483007945,4,12813,232.652815191352,3.01014018046274e-51
v2,spec_D,Birding days,M0,4222.24943302669,4244.62407970522,-2108.12471651334,3,12813,24.7966935735185,4.12536471643022e-06
v2,spec_D,Birding days,M1,4224.22089250147,4254.05375473951,-2108.11044625073,4,12813,26.7681530482969,1.53944920689955e-06
v2,spec_D,Birding days,M2,4223.10753187217,4252.94039411021,-2107.55376593609,4,12813,25.6547924190018,2.68613943694062e-06
v2,spec_D,Birding days,M3,4225.10743044881,4262.39850824635,-2107.5537152244,5,12813,27.654690995636,9.88225588282267e-07
v2,spec_D,Birding days,M4,4197.45273945317,4242.20203281023,-2092.72636972659,6,12813,0,0.999990660821052
v2,spec_D,Birding days,M5,4837.01754574839,4866.85040798643,-2414.5087728742,4,12813,639.56480629522,1.3190548261722e-139
