scale,model,AIC,BIC,logLik,nobs,dAIC,akaike_weight
prefecture,M0,7666.66996205788,7693.86114570087,-3830.33498102894,63814,20.5352777259468,2.02845526875903e-05
prefecture,M1,7658.84779156029,7695.10270308428,-3825.42389578015,63814,12.7131072283628,0.00101327698149501
prefecture,M2,7654.61233811915,7690.86724964314,-3823.30616905958,63814,8.47765378721851,0.00842258118579952
prefecture,M3,7646.13468433193,7691.45332373692,-3818.06734216597,63814,0,0.58390787904143
prefecture,M4,7646.85833402424,7701.24070131022,-3817.42916701212,63814,0.723649692308754,0.406635978238588
county,M0,8646.42719356179,8676.35192213152,-4320.21359678089,158722,20.6869583797561,2.216099015079e-05
county,M1,8633.26641431662,8673.1660524096,-4312.63320715831,158722,7.52617913458744,0.0159740876317311
county,M2,8639.21809320518,8679.11773129817,-4315.60904660259,158722,13.4778580231505,0.000814751958140627
county,M3,8625.74023518203,8675.61478279826,-4307.87011759102,158722,0,0.688184832451294
county,M4,8627.43437112626,8687.28382826573,-4307.71718556313,158722,1.69413594422804,0.295004166968683
